year of birth,gender,name,count,rank
1920,FEMALE,FEMALE,4681,1
1920,FEMALE,MARY,2284,2
1920,FEMALE,ANNA,1952,3
1920,FEMALE,HELEN,1705,4
1920,FEMALE,DOROTHY,1700,5
1920,FEMALE,RUTH,1396,6
1920,FEMALE,MARIA,1365,7
1920,FEMALE,MARGARET,1290,8
1920,FEMALE,FLORENCE,947,9
1920,FEMALE,ROSE,838,10
1920,FEMALE,MILDRED,771,11
1920,FEMALE,CATHERINE,755,12
1920,FEMALE,LILLIAN,750,13
1920,FEMALE,SYLVIA,747,14
1920,FEMALE,ELIZABETH,740,15
1920,FEMALE,FRANCES,640,16
1920,FEMALE,EVELYN,636,17
1920,FEMALE,MARIE,590,18
1920,FEMALE,SHIRLEY,586,19
